Символ;ISO-8859-5;UTF-8;UTF-16BE
М;BC;D0 9C;04 1C
ы;EB;D1 8B;04 4B
 ;20;20;00 20
р;E0;D1 80;04 40
а;D0;D0 B0;04 30
б;D1;D0 B1;04 31
о;DE;D0 BE;04 3E
т;E2;D1 82;04 42
а;D0;D0 B0;04 30
е;D5;D0 B5;04 35
м;DC;D0 BC;04 3C
 ;20;20;00 20
н;DD;D0 BD;04 3D
а;D0;D0 B0;04 30
д;D4;D0 B4;04 34
 ;20;20;00 20
э;ED;D1 8D;04 4D
т;E2;D1 82;04 42
и;D8;D0 B8;04 38
м;DC;D0 BC;04 3C
 ;20;20;00 20
-;2D;2D;00 2D
 ;20;20;00 20
ф;E4;D1 84;04 44
р;E0;D1 80;04 40
а;D0;D0 B0;04 30
з;D7;D0 B7;04 37
а;D0;D0 B0;04 30
-;2D;2D;00 2D
з;D7;D0 B7;04 37
а;D0;D0 B0;04 30
в;D2;D0 B2;04 32
т;E2;D1 82;04 42
р;E0;D1 80;04 40
а;D0;D0 B0;04 30
к;DA;D0 BA;04 3A
,;2C;2C;00 2C
 ;20;20;00 20
к;DA;D0 BA;04 3A
о;DE;D0 BE;04 3E
т;E2;D1 82;04 42
о;DE;D0 BE;04 3E
р;E0;D1 80;04 40
ы;EB;D1 8B;04 4B
м;DC;D0 BC;04 3C
 ;20;20;00 20
в;D2;D0 B2;04 32
 ;20;20;00 20
9;39;39;00 39
5;35;35;00 35
%;25;25;00 25
 ;20;20;00 20
с;E1;D1 81;04 41
л;DB;D0 BB;04 3B
у;E3;D1 83;04 43
ч;E7;D1 87;04 47
а;D0;D0 B0;04 30
е;D5;D0 B5;04 35
в;D2;D0 B2;04 32
 ;20;20;00 20
к;DA;D0 BA;04 3A
о;DE;D0 BE;04 3E
р;E0;D1 80;04 40
м;DC;D0 BC;04 3C
я;EF;D1 8F;04 4F
т;E2;D1 82;04 42
 ;20;20;00 20
л;DB;D0 BB;04 3B
ю;EE;D1 8E;04 4E
д;D4;D0 B4;04 34
е;D5;D0 B5;04 35
й;D9;D0 B9;04 39
,;2C;2C;00 2C
 ;20;20;00 20
к;DA;D0 BA;04 3A
о;DE;D0 BE;04 3E
т;E2;D1 82;04 42
о;DE;D0 BE;04 3E
р;E0;D1 80;04 40
ы;EB;D1 8B;04 4B
е;D5;D0 B5;04 35
 ;20;20;00 20
п;DF;D0 BF;04 3F
о;DE;D0 BE;04 3E
 ;20;20;00 20
н;DD;D0 BD;04 3D
е;D5;D0 B5;04 35
о;DE;D0 BE;04 3E
с;E1;D1 81;04 41
т;E2;D1 82;04 42
о;DE;D0 BE;04 3E
р;E0;D1 80;04 40
о;DE;D0 BE;04 3E
ж;D6;D0 B6;04 36
н;DD;D0 BD;04 3D
о;DE;D0 BE;04 3E
с;E1;D1 81;04 41
т;E2;D1 82;04 42
и;D8;D0 B8;04 38
,;2C;2C;00 2C
 ;20;20;00 20
а;D0;D0 B0;04 30
 ;20;20;00 20
т;E2;D1 82;04 42
о;DE;D0 BE;04 3E
 ;20;20;00 20
и;D8;D0 B8;04 38
 ;20;20;00 20
о;DE;D0 BE;04 3E
т;E2;D1 82;04 42
 ;20;20;00 20
б;D1;D0 B1;04 31
е;D5;D0 B5;04 35
з;D7;D0 B7;04 37
а;D0;D0 B0;04 30
л;DB;D0 BB;04 3B
ь;EC;D1 8C;04 4C
т;E2;D1 82;04 42
е;D5;D0 B5;04 35
р;E0;D1 80;04 40
н;DD;D0 BD;04 3D
а;D0;D0 B0;04 30
т;E2;D1 82;04 42
и;D8;D0 B8;04 38
в;D2;D0 B2;04 32
н;DD;D0 BD;04 3D
о;DE;D0 BE;04 3E
с;E1;D1 81;04 41
т;E2;D1 82;04 42
и;D8;D0 B8;04 38
 ;20;20;00 20
о;DE;D0 BE;04 3E
б;D1;D0 B1;04 31
р;E0;D1 80;04 40
а;D0;D0 B0;04 30
т;E2;D1 82;04 42
и;D8;D0 B8;04 38
л;DB;D0 BB;04 3B
и;D8;D0 B8;04 38
с;E1;D1 81;04 41
ь;EC;D1 8C;04 4C
 ;20;20;00 20
к;DA;D0 BA;04 3A
 ;20;20;00 20
р;E0;D1 80;04 40
а;D0;D0 B0;04 30
б;D1;D0 B1;04 31
о;DE;D0 BE;04 3E
т;E2;D1 82;04 42
н;DD;D0 BD;04 3D
и;D8;D0 B8;04 38
к;DA;D0 BA;04 3A
а;D0;D0 B0;04 30
м;DC;D0 BC;04 3C
 ;20;20;00 20
"""";22;22;00 22
н;DD;D0 BD;04 3D
а;D0;D0 B0;04 30
д;D4;D0 B4;04 34
 ;20;20;00 20
э;ED;D1 8D;04 4D
т;E2;D1 82;04 42
и;D8;D0 B8;04 38
м;DC;D0 BC;04 3C
"""";22;22;00 22
.;2E;2E;00 2E
